autoconf 2.69-3
util-linux 2.26.2-1
vim 7.4.1721-1
wget 1.17.1-3
which 2.21-2
windows-default-manifest 6.4-1
winpty 0.2.2-2
xmlto 0.0.28-1
xz 5.2.2-1
zlib 1.2.8-3
zlib-devel 1.2.8-3
